"last_name, first_name",player_id,year,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z_induced
"Pallante, Andre",669467,2025,0,0,0,0
"Parker, Mitchell",680730,2025,85.4,975,6.8,9
"Patrick, Chad",694477,2025,87.7,1357,-12,5.4
"Pepiot, Ryan",686752,2025,0,0,0,0
"Peralta, Freddy",642547,2025,0,0,0,0
"Peterson, David",656849,2025,0,0,0,0
"Pfaadt, Brandon",694297,2025,0,0,0,0
"Pivetta, Nick",601713,2025,87.3,1456,-12.3,13.1
"Priester, Quinn",682990,2025,0,0,0,0
"Quantrill, Cal",615698,2025,86.3,1124,-11.7,6
"Quintana, Jose",500779,2025,0,0,0,0
"Rasmussen, Drew",656876,2025,0,0,0,0
"Ray, Robbie",592662,2025,0,0,0,0
"Rea, Colin",607067,2025,87.4,1418,-13.2,-0.2
"Rodón, Carlos",607074,2025,0,0,0,0
"Rodriguez, Eduardo",593958,2025,0,0,0,0
"Ryan, Joe",657746,2025,87.6,2013,-15.2,1.2
"Sánchez, Cristopher",650911,2025,0,0,0,0
"Sears, JP",676664,2025,0,0,0,0
"Senga, Kodai",673540,2025,0,0,0,0
"Senzatela, Antonio",622608,2025,0,0,0,0
"Severino, Luis",622663,2025,0,0,0,0
"Singer, Brady",663903,2025,0,0,0,0
"Skenes, Paul",694973,2025,93.7,1677,-13.4,0
"Skubal, Tarik",669373,2025,0,0,0,0
"Smith, Shane",681343,2025,0,0,0,0
"Soriano, José",667755,2025,92.3,1479,-10.3,-0.5
"Springs, Jeffrey",605488,2025,0,0,0,0
"Strider, Spencer",675911,2025,0,0,0,0
"Suárez, Ranger",624133,2025,0,0,0,0
"Sugano, Tomoyuki",608372,2025,87.3,1590,-11.9,5.6
"Valdez, Framber",664285,2025,0,0,0,0
"Vásquez, Randy",681190,2025,0,0,0,0
"Verlander, Justin",434378,2025,0,0,0,0
"Wacha, Michael",608379,2025,0,0,0,0
"Walker, Taijuan",592836,2025,87.3,1459,-12.5,4
"Warren, Will",701542,2025,0,0,0,0
"Webb, Logan",657277,2025,0,0,0,0
"Wheeler, Zack",554430,2025,87.1,1534,-13.2,4.3
"Williams, Gavin",668909,2025,0,0,0,0
"Woo, Bryan",693433,2025,0,0,0,0
"Yamamoto, Yoshinobu",808967,2025,90.9,1425,-11.3,2
